Date,Open,High,Low,Close,Adj Close,Volume
2020-01-21,777.250000,783.400024,775.000000,778.900024,710.917725,976954
2020-01-22,780.000000,790.450012,776.200012,778.750000,710.780823,1192201
2020-01-23,777.250000,780.450012,766.900024,768.950012,701.836121,2018777
2020-01-24,765.099976,788.750000,763.299988,787.299988,718.584656,2364265
2020-01-27,786.000000,796.250000,779.650024,791.500000,722.417969,1175606
2020-01-28,792.500000,795.750000,784.599976,794.250000,724.927979,1506685
2020-01-29,796.900024,807.200012,793.549988,804.150024,733.963928,2565136
2020-01-30,805.599976,807.950012,784.000000,791.349976,722.281067,2493688
2020-01-31,796.849976,802.500000,783.000000,796.599976,727.072876,3081521
2020-02-03,808.000000,818.700012,790.500000,793.150024,723.924011,3383074
2020-02-04,794.299988,813.000000,794.299988,811.099976,740.307251,1779834
2020-02-05,810.000000,816.000000,807.000000,814.049988,742.999878,1613898
2020-02-06,812.700012,825.950012,810.049988,817.700012,746.331238,1553656
2020-02-07,817.700012,825.450012,814.250000,824.450012,752.492065,1397438
2020-02-10,827.000000,827.099976,811.500000,813.650024,742.634766,1098971
2020-02-11,813.000000,821.849976,811.049988,819.950012,748.384949,1143705
2020-02-12,820.000000,826.450012,816.799988,821.500000,749.799561,1394424
2020-02-13,822.799988,830.000000,814.349976,828.000000,755.732300,1737974
2020-02-14,827.000000,838.000000,825.049988,834.150024,761.345520,2143044
2020-02-17,835.950012,837.000000,827.450012,833.250000,760.524109,793328
2020-02-18,825.349976,840.000000,825.349976,838.799988,765.589661,1507814
2020-02-19,839.000000,844.849976,836.049988,840.900024,767.506470,881874
2020-02-20,840.150024,845.900024,826.950012,829.599976,757.192566,1066232
2020-02-24,828.950012,843.900024,815.750000,820.099976,748.521790,2917544
2020-02-25,822.000000,826.799988,809.049988,822.099976,750.347290,2479975
2020-02-26,820.000000,825.500000,808.200012,811.450012,740.626831,2212784
2020-02-27,807.000000,819.700012,800.200012,809.150024,738.527527,1907768
2020-02-28,789.799988,808.000000,732.049988,744.400024,679.428955,5959364
2020-03-02,742.000000,754.450012,734.400024,744.549988,688.819092,3784522
2020-03-03,750.000000,757.650024,742.099976,752.299988,695.988953,2168900
2020-03-04,754.000000,774.849976,748.000000,771.299988,713.566833,2685540
2020-03-05,769.950012,784.000000,752.349976,756.099976,699.504517,2126955
2020-03-06,746.099976,749.750000,731.400024,740.400024,684.979797,2004893
2020-03-09,715.000000,730.000000,696.549988,704.799988,652.044495,3429034
2020-03-11,681.000000,713.900024,666.000000,708.549988,655.513733,4626185
2020-03-12,676.000000,690.000000,637.099976,649.849976,601.207520,3796919
2020-03-13,603.250000,670.000000,525.900024,655.950012,606.851013,4553639
2020-03-16,634.799988,634.799988,591.000000,603.400024,558.234558,6499354
2020-03-17,600.000000,617.950012,583.299988,595.450012,550.879578,3333465
2020-03-18,600.000000,611.250000,570.650024,579.650024,536.262207,3548257
2020-03-19,549.650024,577.650024,523.000000,530.000000,490.328583,4931298
2020-03-20,525.099976,595.450012,525.099976,576.349976,533.209106,6315992
2020-03-23,540.000000,542.000000,471.399994,487.200012,450.732239,2912669
2020-03-24,487.000000,533.950012,487.000000,503.500000,465.812134,4082147
2020-03-25,509.000000,542.849976,507.049988,526.700012,487.275604,3664272
2020-03-26,539.349976,564.900024,513.000000,515.200012,476.636383,5979874
2020-03-27,525.000000,538.799988,498.000000,504.100006,466.367218,4672139
2020-03-30,494.000000,532.349976,485.649994,526.799988,487.368073,4138337
2020-03-31,537.000000,575.250000,527.849976,565.500000,523.171387,3652911
2020-04-01,560.000000,560.299988,510.000000,511.200012,472.935791,4114437
2020-04-03,513.750000,533.150024,510.100006,520.900024,481.909729,5826085
2020-04-07,536.500000,557.650024,535.750000,549.849976,508.692749,3531972
2020-04-08,539.950012,569.799988,537.000000,558.900024,517.065430,4113059
2020-04-09,570.000000,582.700012,537.549988,545.250000,504.437073,5917001
2020-04-13,551.000000,551.000000,521.750000,526.849976,487.414307,3822640
2020-04-15,528.000000,548.599976,528.000000,538.650024,498.331177,6316254
2020-04-16,527.000000,530.000000,508.350006,517.650024,478.903046,7001494
2020-04-17,529.099976,532.000000,500.000000,509.850006,471.686859,10839705
2020-04-20,517.950012,531.900024,512.000000,524.849976,485.564056,4549088
2020-04-21,511.000000,520.000000,505.899994,512.950012,474.554810,2950307
2020-04-22,512.000000,521.900024,507.049988,518.299988,479.504303,2268496
2020-04-23,519.000000,527.849976,509.299988,523.700012,484.500153,6094748
2020-04-24,522.000000,532.599976,502.100006,503.450012,465.765900,4817852
2020-04-27,511.700012,519.000000,506.500000,511.700012,473.398376,4032316
2020-04-28,518.000000,528.500000,515.549988,520.400024,481.447205,4972775
2020-04-29,525.950012,536.900024,522.099976,528.700012,489.125885,6361689
2020-04-30,541.000000,552.900024,532.349976,546.250000,505.362244,8931956
2020-05-04,515.000000,519.750000,498.000000,502.450012,464.840759,14814506
2020-05-05,506.000000,514.000000,498.200012,499.950012,462.527893,5717678
2020-05-06,503.750000,509.100006,490.000000,506.850006,468.911377,3781531
2020-05-07,508.000000,525.849976,506.350006,516.349976,477.700256,6799899
2020-05-08,526.900024,538.599976,519.200012,536.200012,496.064484,6016020
2020-05-11,541.500000,543.799988,527.200012,530.200012,490.513611,4272574
2020-05-12,525.000000,539.500000,525.000000,533.250000,493.335266,5691969
2020-05-13,542.000000,549.750000,531.400024,544.750000,503.974548,3296409
2020-05-14,532.400024,535.000000,513.950012,515.700012,477.098938,6148398
2020-05-15,520.000000,520.000000,507.399994,510.549988,472.334412,3628530
2020-05-18,511.500000,515.000000,501.500000,504.049988,466.320953,3283979
2020-05-19,510.000000,519.700012,503.299988,512.599976,474.230957,3041594
2020-05-20,515.000000,524.799988,510.700012,519.200012,480.336975,2772920
2020-05-21,519.950012,521.500000,510.049988,520.049988,481.123322,2540109
2020-05-22,517.099976,531.000000,515.099976,529.650024,490.004791,4254552
2020-05-26,533.000000,540.750000,518.849976,520.450012,481.493439,2719781
2020-05-27,521.650024,526.000000,512.049988,523.750000,484.546448,2265885
2020-05-28,528.000000,531.849976,517.150024,529.700012,490.051025,3387672
2020-05-29,529.900024,535.650024,524.450012,530.450012,490.744904,4081245
2020-06-01,538.500000,554.799988,537.049988,543.549988,502.864319,4913055
